iter	MAE
0	49.87457814
1	47.44809099
2	45.16527771
3	42.97326406
4	41.00092149
5	39.18634917
6	37.36955951
7	35.56113627
8	33.88538963
9	32.37339354
10	30.89286089
11	29.46475348
12	28.10614563
13	26.82908997
14	25.63354028
15	24.51106363
16	23.40624972
17	22.41921076
18	21.50799169
19	20.57772708
20	19.65266101
21	18.78949636
22	18.03477642
23	17.28159021
24	16.52731155
25	15.81694594
26	15.14292401
27	14.50914224
28	13.90109949
29	13.32420876
30	12.76461773
31	12.29353136
32	11.84091575
33	11.37695036
34	10.9511553
35	10.53347089
36	10.1537638
37	9.806216393
38	9.435302794
39	9.099764115
40	8.768949134
41	8.436704739
42	8.123398785
43	7.860799585
44	7.611987092
45	7.334533674
46	7.121125024
47	6.896634572
48	6.662658064
49	6.440446543
50	6.227276232
51	6.012874729
52	5.822434174
53	5.637412893
54	5.463961899
55	5.325939646
56	5.160984492
57	5.015003858
58	4.862662699
59	4.727854507
60	4.601439626
61	4.466792812
62	4.347441597
63	4.237355873
64	4.129672841
65	4.031794255
66	3.937288683
67	3.844485258
68	3.761059403
69	3.681428252
70	3.604348566
71	3.529633801
72	3.472419187
73	3.402007094
74	3.330639894
75	3.261674575
76	3.208642749
77	3.151875329
78	3.096140101
79	3.045059132
80	2.994259414
81	2.947590127
82	2.8968887
83	2.848914295
84	2.801140204
85	2.76120708
86	2.721895197
87	2.686566392
88	2.646308256
89	2.610049324
90	2.579212939
91	2.547911137
92	2.514242955
93	2.490805675
94	2.456228514
95	2.430330139
96	2.40069453
97	2.370712156
98	2.34786416
99	2.324069255
100	2.304794598
101	2.278166212
102	2.257004755
103	2.238241808
104	2.219858212
105	2.198305885
106	2.175621419
107	2.16016281
108	2.138874139
109	2.125346609
110	2.104720388
111	2.087325175
112	2.073999015
113	2.060769262
114	2.045644016
115	2.034686515
116	2.015805876
117	2.004203377
118	1.985441631
119	1.96659655
120	1.94908578
121	1.938118984
122	1.930824382
123	1.9187225
124	1.906116558
125	1.892878566
126	1.878613251
127	1.86946866
128	1.856892255
129	1.843988258
130	1.832362748
131	1.823344047
132	1.811865682
133	1.803548298
134	1.792506819
135	1.786920074
136	1.781070064
137	1.771248497
138	1.761587469
139	1.75309932
140	1.740722242
141	1.730771599
142	1.720251617
143	1.712656474
144	1.697005371
145	1.687196994
146	1.669387183
147	1.659626227
148	1.650087011
149	1.639469973
150	1.631311628
151	1.627092701
152	1.61182302
153	1.598128877
154	1.588472396
155	1.585378708
156	1.578824314
157	1.573569264
158	1.565511057
159	1.557903422
160	1.55260199
161	1.545838945
162	1.538787931
163	1.532717143
164	1.525969477
165	1.517705439
166	1.504171849
167	1.49337326
168	1.485599686
169	1.476040634
170	1.466848464
171	1.461199806
172	1.450361623
173	1.444305104
174	1.43967
175	1.434579747
176	1.424719394
177	1.414065227
178	1.408772106
179	1.399525254
180	1.389392135
181	1.384197233
182	1.374311422
183	1.361779038
184	1.35633308
185	1.345587276
186	1.337495054
187	1.329706198
188	1.322655958
189	1.313922659
190	1.309568562
191	1.301653423
192	1.297325326
193	1.29259665
194	1.286157344
195	1.282523008
196	1.276088031
197	1.270144084
198	1.263362611
199	1.256983068
200	1.250574758
201	1.240217963
202	1.236576158
203	1.229537299
204	1.220939845
205	1.216238742
206	1.209091863
207	1.202754292
208	1.198996527
209	1.191809926
210	1.185249889
211	1.182027844
212	1.178126327
213	1.174773418
214	1.167909317
215	1.160024176
216	1.155537198
217	1.151318657
218	1.146930612
219	1.143601998
220	1.135096757
221	1.127663251
222	1.124426735
223	1.120401142
224	1.11622768
225	1.108567622
226	1.101795443
227	1.099714821
228	1.09517575
229	1.092421084
230	1.084718952
231	1.079192002
232	1.072310528
233	1.06777915
234	1.065079208
235	1.062485211
236	1.058520769
237	1.055874536
238	1.054183587
239	1.047358828
240	1.044650211
241	1.038115733
242	1.031437782
243	1.025946321
244	1.020711412
245	1.013899029
246	1.00814949
247	1.00235796
248	0.9985057522
249	0.993776469
250	0.9914032843
251	0.9843487094
252	0.9818858357
253	0.9790264948
254	0.9725492505
255	0.9662952481
256	0.9629252912
257	0.9584149321
258	0.9552226996
259	0.952476862
260	0.9468205431
261	0.9435264958
262	0.9395784847
263	0.9365604523
264	0.9328808793
265	0.9297129201
266	0.9278758747
267	0.9235954824
268	0.9192549411
269	0.9174041573
270	0.914189377
271	0.9103785746
272	0.9062434489
273	0.901505666
274	0.8970886189
275	0.8941431131
276	0.8920658601
277	0.8887952905
278	0.8857640253
279	0.8818837036
280	0.8772154201
281	0.8727605485
282	0.8694614331
283	0.8662713761
284	0.8625560452
285	0.8594724214
286	0.8576086123
287	0.8553376132
288	0.852702583
289	0.8496729981
290	0.8459926588
291	0.8449691266
292	0.8412673869
293	0.8393559173
294	0.837479334
295	0.8352924918
296	0.833399119
297	0.8314248356
298	0.8274051508
299	0.8256685813
300	0.8239854153
301	0.8217771818
302	0.818897973
303	0.8151652698
304	0.8123652052
305	0.8095922172
306	0.8062846656
307	0.8046198859
308	0.8036897286
309	0.8030908589
310	0.8000047105
311	0.7977539258
312	0.7959661182
313	0.7932009393
314	0.7915649015
315	0.7886156886
316	0.7870399756
317	0.7847660673
318	0.7827677064
319	0.7813986823
320	0.7794986886
321	0.776746086
322	0.7740774637
323	0.7725930049
324	0.7704448655
325	0.7674222481
326	0.7662609163
327	0.7646268196
328	0.7637345123
329	0.7616237191
330	0.7591024301
331	0.7576567762
332	0.7562147696
333	0.7540543865
334	0.7524296484
335	0.7504344075
336	0.7483612313
337	0.7465271868
338	0.7445187663
339	0.7428872101
340	0.7400760131
341	0.7386958193
342	0.7357829864
343	0.7337781853
344	0.7320641772
345	0.7306967429
346	0.7289206682
347	0.7256722346
348	0.7244702708
349	0.7229558558
350	0.7219147063
351	0.719945123
352	0.7188634117
353	0.7178329379
354	0.7158647909
355	0.7147501063
356	0.7124978906
357	0.7106322005
358	0.7088879559
359	0.7069065689
360	0.704786061
361	0.7036181359
362	0.7010891238
363	0.6995986114
364	0.6985659352
365	0.697148391
366	0.696688857
367	0.6956628852
368	0.6944755362
369	0.6930903778
370	0.6909725301
371	0.6897428795
372	0.6876508712
373	0.6858268632
374	0.6847917006
375	0.6838601568
376	0.6821632579
377	0.6807883208
378	0.6788191626
379	0.6773687132
380	0.675666482
381	0.6748232452
382	0.6737981956
383	0.6726930703
384	0.6712416348
385	0.6702736467
386	0.6688914526
387	0.6675016477
388	0.6663125117
389	0.6649901175
390	0.6635794191
391	0.6621785151
392	0.6605553007
393	0.6596243492
394	0.6582037271
395	0.6575615653
396	0.6567638671
397	0.6548929444
398	0.6539467705
399	0.6532353284
400	0.652464704
401	0.651223782
402	0.6502866324
403	0.6489084918
404	0.6469652175
405	0.6463647539
406	0.6457381305
407	0.6451116284
408	0.6435976807
409	0.6418469189
410	0.6405796591
411	0.6401582736
412	0.6393701619
413	0.6376687299
414	0.6363261435
415	0.6348819928
416	0.6335531338
417	0.6324548579
418	0.6317492252
419	0.6301673055
420	0.629026589
421	0.6283646063
422	0.6276668199
423	0.6260493167
424	0.6253363209
425	0.6247376475
426	0.6235415152
427	0.6226635159
428	0.6214148953
429	0.6202553886
430	0.6195192343
431	0.6181372019
432	0.6175028625
433	0.6161640435
434	0.6152054271
435	0.6142753176
436	0.6134270497
437	0.6128494345
438	0.6125789083
439	0.6109080342
440	0.6104198305
441	0.6091726578
442	0.608283084
443	0.6077593293
444	0.606027118
445	0.6048133846
446	0.6037023766
447	0.6023716939
448	0.6015309697
449	0.5999475863
450	0.5988341107
451	0.598192276
452	0.5967501124
453	0.5960691613
454	0.5956529883
455	0.594426389
456	0.5935992842
457	0.5928777973
458	0.5918459495
459	0.5914597379
460	0.5908154306
461	0.5896851538
462	0.5882889078
463	0.5877468052
464	0.5866733132
465	0.5861085849
466	0.58515453
467	0.5839941136
468	0.5825888436
469	0.5816378691
470	0.5808830779
471	0.5801161898
472	0.5791086748
473	0.5786588011
474	0.5771131991
475	0.576098038
476	0.5753814249
477	0.5748134072
478	0.5741579233
479	0.5732972526
480	0.5721276213
481	0.5710819949
482	0.5701694242
483	0.5691258424
484	0.568423577
485	0.5677214989
486	0.5664769152
487	0.5653433807
488	0.5646675127
489	0.5638345124
490	0.5634808443
491	0.5632594811
492	0.5621761463
493	0.5612564545
494	0.560584541
495	0.5595512073
496	0.5587053903
497	0.5583667308
498	0.5575096294
499	0.5569996918
500	0.5566252986
501	0.5556998264
502	0.5548283045
503	0.5536012895
504	0.5529078335
505	0.5525843872
506	0.551531768
507	0.5509077884
508	0.5497313755
509	0.5489920683
510	0.5485438095
511	0.5480363502
512	0.5469213759
513	0.5459292546
514	0.5453540087
515	0.5447780648
516	0.5437441897
517	0.5430548265
518	0.5422463459
519	0.5413743119
520	0.5409563656
521	0.5404023617
522	0.5400106192
523	0.5395777956
524	0.5393109075
525	0.5388138329
526	0.5384866554
527	0.5375633586
528	0.5372607723
529	0.536682585
530	0.5358405065
531	0.5352619219
532	0.5345049878
533	0.5341754738
534	0.5333641001
535	0.5328835311
536	0.5324576917
537	0.5313631714
538	0.5308644661
539	0.5303142315
540	0.5296818856
541	0.5293790912
542	0.5287648936
543	0.5282481375
544	0.5278777897
545	0.5272930761
546	0.5264820788
547	0.5260887734
548	0.5254580076
549	0.5246590863
550	0.5239871418
551	0.5232157013
552	0.5225127199
553	0.5218801557
554	0.5210395929
555	0.520272601
556	0.5199514854
557	0.519234801
558	0.5186942344
559	0.518092951
560	0.5174334953
561	0.5166059636
562	0.5159828061
563	0.5152050211
564	0.5147295473
565	0.5141870244
566	0.5135420606
567	0.5128729013
568	0.5119010241
569	0.5107728267
570	0.5104333755
571	0.5096310931
572	0.5090688324
573	0.5085524016
574	0.5075824978
575	0.5070537272
576	0.5067318623
577	0.5061363415
578	0.5056809741
579	0.5054576829
580	0.505057018
581	0.5045509713
582	0.5038501983
583	0.5032690093
584	0.5025043386
585	0.5018882418
586	0.5012916523
587	0.5010662461
588	0.5005761515
589	0.5001770939
590	0.49976504
591	0.4994544515
592	0.4990814826
593	0.498172323
594	0.4974374017
595	0.4967900454
596	0.4964337186
597	0.4959621327
598	0.4954877668
599	0.4953027465
600	0.4945510477
601	0.4938109675
602	0.4933205149
603	0.4926734477
604	0.4923158742
605	0.4921668217
606	0.4916062041
607	0.49118133
608	0.4907079476
609	0.4905435447
610	0.4902343831
611	0.4897704463
612	0.4891086253
613	0.4886597952
614	0.4875919684
615	0.4873263528
616	0.4866921245
617	0.4865383654
618	0.4858502606
619	0.4852211296
620	0.4849882035
621	0.4843720035
622	0.4837183975
623	0.4831802999
624	0.4827645669
625	0.4821476369
626	0.4813596769
627	0.4809090125
628	0.4804967347
629	0.4798938491
630	0.4795530972
631	0.4791928363
632	0.4788603633
633	0.4783780839
634	0.4781800308
635	0.4775278437
636	0.4771666981
637	0.4767170236
638	0.4762135909
639	0.4760631527
640	0.4757828705
641	0.4749609487
642	0.4742424803
643	0.4736113189
644	0.4732570814
645	0.4726337352
646	0.4723560198
647	0.4717703838
648	0.4713516262
649	0.4708141207
650	0.4702560024
651	0.4697839217
652	0.4692847971
653	0.4689585369
654	0.4683625741
655	0.4679901446
656	0.4676483346
657	0.4673223487
658	0.4669213103
659	0.4666608144
660	0.466299791
661	0.4659469043
662	0.4655142309
663	0.465022006
664	0.4644196118
665	0.4641099349
666	0.4638438326
667	0.463612584
668	0.4632487629
669	0.4627639697
670	0.4624632687
671	0.4623087569
672	0.4620822196
673	0.461584512
674	0.4614347021
675	0.4608305511
676	0.4602277055
677	0.4599114351
678	0.4595410999
679	0.4590386025
680	0.4586201067
681	0.4583164795
682	0.4578131408
683	0.4573950909
684	0.457272301
685	0.4568145166
686	0.4566066678
687	0.4562886875
688	0.4560593666
689	0.4557045628
690	0.4551805782
691	0.4548409168
692	0.4543248461
693	0.4540766065
694	0.4536828924
695	0.453499053
696	0.453081101
697	0.4523699849
698	0.4519497056
699	0.4515725004
700	0.4511436121
701	0.4508829265
702	0.4502354728
703	0.4495364342
704	0.4492044736
705	0.4488787592
706	0.4482414804
707	0.4479575272
708	0.4478136541
709	0.4476846762
710	0.4473427116
711	0.4469347577
712	0.4466406639
713	0.446085993
714	0.4457186078
715	0.4452391671
716	0.4449288668
717	0.4443145565
718	0.4440503026
719	0.4435988626
720	0.4430425651
721	0.4428354499
722	0.4426261709
723	0.4422282455
724	0.4419404651
725	0.4414752917
726	0.4413013713
727	0.4407477982
728	0.4404742014
729	0.4403416437
730	0.4399868211
731	0.4396060059
732	0.4392625161
733	0.439021119
734	0.4385586343
735	0.4383830404
736	0.4379619354
737	0.437635935
738	0.437336867
739	0.4371486432
740	0.4369032451
741	0.436711513
742	0.4362582736
743	0.4359340574
744	0.4357569271
745	0.4353557583
746	0.4349851311
747	0.4346317642
748	0.4342866762
749	0.4337218794
750	0.4333189419
751	0.4331921383
752	0.432875108
753	0.4323455669
754	0.4317582135
755	0.4316378685
756	0.431267428
757	0.4310510097
758	0.4309259034
759	0.4308401615
760	0.4304861807
761	0.4299237316
762	0.4297217842
763	0.4292781886
764	0.4287544748
765	0.4283599761
766	0.4280665509
767	0.427755672
768	0.4275115888
769	0.4269138806
770	0.4267536442
771	0.4263751352
772	0.4262229763
773	0.4259135118
774	0.4258602957
775	0.425333268
776	0.4250878668
777	0.4245555292
778	0.4243579852
779	0.424123077
780	0.4238614038
781	0.423648658
782	0.42337204
783	0.4227531515
784	0.4225033796
785	0.4220342857
786	0.421730784
787	0.4215604191
788	0.4213113734
789	0.4210476171
790	0.4209303021
791	0.4204110979
792	0.4199944889
793	0.4194472415
794	0.4192580673
795	0.4188648633
796	0.4186288535
797	0.4184211159
798	0.4179390008
799	0.4176359837
800	0.4173836371
801	0.417025754
802	0.4167765434
803	0.4163829596
804	0.4163041121
805	0.4162371191
806	0.415923691
807	0.4155553952
808	0.4154156485
809	0.4153005226
810	0.4150097188
811	0.4148421969
812	0.4143915584
813	0.4142334405
814	0.4139664151
815	0.4138117898
816	0.4136520199
817	0.413455603
818	0.4131156233
819	0.4128629402
820	0.4126048691
821	0.4123954504
822	0.4121600545
823	0.4118193959
824	0.4115350953
825	0.4112659579
826	0.4111232492
827	0.4107845165
828	0.4104437497
829	0.4101143135
830	0.4098270898
831	0.4095896597
832	0.4092276232
833	0.4089851394
834	0.4086537845
835	0.4081763894
836	0.4080848471
837	0.4079214657
838	0.4077617742
839	0.4071965387
840	0.4070659707
841	0.40663605
842	0.4063959666
843	0.4059725236
844	0.4054630936
845	0.4053182013
846	0.4051687695
847	0.4049828249
848	0.4047895415
849	0.4046019641
850	0.4041491397
851	0.4039612131
852	0.4037115294
853	0.4033738708
854	0.4032088845
855	0.4029121429
856	0.4026658637
857	0.4023617727
858	0.4021700236
859	0.4019805272
860	0.4015043305
861	0.4011614641
862	0.4006166874
863	0.4004168884
864	0.4000838618
865	0.399703144
866	0.3993734057
867	0.3992153685
868	0.3989736607
869	0.3987482968
870	0.3983275723
871	0.3982100567
