iter	Passed	Remaining
0	184	924077
1	235	588527
2	279	466113
3	325	407050
4	375	374803
5	401	334590
6	446	318183
7	490	305906
8	532	295408
9	573	286002
10	616	279449
11	660	274380
12	702	269431
13	746	265694
14	790	262668
15	833	259603
16	876	256801
17	920	254787
18	964	252803
19	1009	251339
20	1051	249303
21	1093	247344
22	1136	245971
23	1179	244497
24	1221	243140
25	1263	241760
26	1308	240975
27	1351	239934
28	1394	238982
29	1437	238178
30	1483	237747
31	1528	237259
32	1571	236479
33	1614	235800
34	1662	235849
35	1705	235180
36	1747	234394
37	1794	234271
38	1836	233660
39	1885	233845
40	1932	233694
41	1975	233189
42	2018	232692
43	2061	232147
44	2103	231653
45	2149	231513
46	2192	231091
47	2235	230661
48	2277	230129
49	2320	229734
50	2363	229348
51	2405	228906
52	2447	228422
53	2490	228149
54	2533	227748
55	2575	227347
56	2617	227023
57	2660	226689
58	2704	226481
59	2750	226444
60	2792	226083
61	2834	225737
62	2880	225753
63	2922	225396
64	2966	225199
65	3010	225025
66	3052	224709
67	3094	224444
68	3138	224324
69	3180	224007
70	3222	223725
71	3269	223754
72	3310	223416
73	3353	223260
74	3397	223070
75	3439	222867
76	3480	222556
77	3525	222486
78	3567	222250
79	3611	222128
80	3660	222320
81	3708	222432
82	3757	222603
83	3799	222336
84	3840	222057
85	3887	222122
86	3939	222446
87	3986	222545
88	4036	222720
89	4083	222768
90	4127	222654
91	4170	222487
92	4212	222241
93	4252	221945
94	4293	221704
95	4338	221643
96	4379	221392
97	4422	221227
98	4466	221130
99	4508	220892
100	4550	220705
101	4592	220539
102	4635	220398
103	4677	220217
104	4720	220070
105	4762	219888
106	4804	219712
107	4847	219569
108	4891	219510
109	4934	219378
110	4977	219236
111	5020	219106
112	5062	218931
113	5104	218773
114	5148	218699
115	5191	218583
116	5233	218431
117	5276	218298
118	5317	218125
119	5361	218032
120	5405	217967
121	5450	217926
122	5493	217827
123	5538	217775
124	5580	217633
125	5623	217548
126	5667	217445
127	5709	217324
128	5751	217173
129	5792	217002
130	5835	216882
131	5881	216891
132	5928	216946
133	5970	216800
134	6012	216672
135	6055	216557
136	6096	216416
137	6138	216284
138	6180	216146
139	6221	215984
140	6264	215872
141	6308	215813
142	6350	215682
143	6392	215561
144	6433	215426
145	6476	215311
146	6518	215188
147	6559	215053
148	6601	214922
149	6643	214794
150	6685	214684
151	6729	214624
152	6770	214499
153	6812	214367
154	6855	214277
155	6897	214169
156	6941	214113
157	6983	214007
158	7025	213903
159	7067	213777
160	7111	213728
161	7154	213665
162	7196	213545
163	7241	213527
164	7282	213392
165	7325	213326
166	7367	213229
167	7410	213130
168	7452	213032
169	7497	213028
170	7539	212927
171	7581	212802
172	7624	212741
173	7666	212640
174	7709	212564
175	7752	212499
176	7795	212410
177	7838	212341
178	7882	212311
179	7926	212266
180	7971	212224
181	8011	212080
182	8055	212033
183	8096	211914
184	8138	211829
185	8181	211743
186	8223	211665
187	8265	211555
188	8309	211529
189	8352	211457
190	8394	211359
191	8437	211289
192	8479	211185
193	8521	211094
194	8563	211012
195	8605	210919
196	8647	210835
197	8691	210794
198	8733	210705
199	8775	210623
200	8818	210546
201	8859	210438
202	8903	210403
203	8949	210405
204	8992	210335
205	9037	210312
206	9081	210267
207	9124	210215
208	9167	210142
209	9210	210092
210	9252	210011
